ID_CIVIL,AÑO,EDO_CIVIL,DES,CAT_CIVIL,DES_CIVIL
1990.1,1990,1,Soltero(a) ,6,Soltero(a)
1990.2,1990,2,Casado(a)  ,1,Casado(a)
1990.3,1990,3,Unión libre ,7,Unión libre
1990.4,1990,4,Separado(a) ,5,Separado(a)
1990.5,1990,5,Divorciado(a) ,2,Divorciado(a)
1990.6,1990,6,Viudo(a) ,8,Viudo(a)
1990.9,1990,9,No especificado,4,No especificado
1991.1,1991,1,Soltero(a) ,6,Soltero(a)
1991.2,1991,2,Casado(a)  ,1,Casado(a)
1991.3,1991,3,Unión libre ,7,Unión libre
1991.4,1991,4,Separado(a) ,5,Separado(a)
1991.5,1991,5,Divorciado(a) ,2,Divorciado(a)
1991.6,1991,6,Viudo(a) ,8,Viudo(a)
1991.9,1991,9,No especificado,4,No especificado
1992.1,1992,1,Soltero(a) ,6,Soltero(a)
1992.2,1992,2,Casado(a)  ,1,Casado(a)
1992.3,1992,3,Unión libre ,7,Unión libre
1992.4,1992,4,Separado(a) ,5,Separado(a)
1992.5,1992,5,Divorciado(a) ,2,Divorciado(a)
1992.6,1992,6,Viudo(a) ,8,Viudo(a)
1992.9,1992,9,No especificado,4,No especificado
1993.1,1993,1,Soltero(a) ,6,Soltero(a)
1993.2,1993,2,Casado(a)  ,1,Casado(a)
1993.3,1993,3,Unión libre ,7,Unión libre
1993.4,1993,4,Separado(a) ,5,Separado(a)
1993.5,1993,5,Divorciado(a) ,2,Divorciado(a)
1993.6,1993,6,Viudo(a) ,8,Viudo(a)
1993.9,1993,9,No especificado,4,No especificado
1994.1,1994,1,Soltero(a) ,6,Soltero(a)
1994.2,1994,2,Casado(a)  ,1,Casado(a)
1994.3,1994,3,Unión libre ,7,Unión libre
1994.4,1994,4,Separado(a) ,5,Separado(a)
1994.5,1994,5,Divorciado(a) ,2,Divorciado(a)
1994.6,1994,6,Viudo(a) ,8,Viudo(a)
1994.9,1994,9,No especificado,4,No especificado
1995.1,1995,1,Soltero(a) ,6,Soltero(a)
1995.2,1995,2,Casado(a)  ,1,Casado(a)
1995.3,1995,3,Unión libre ,7,Unión libre
1995.4,1995,4,Separado(a) ,5,Separado(a)
1995.5,1995,5,Divorciado(a) ,2,Divorciado(a)
1995.6,1995,6,Viudo(a) ,8,Viudo(a)
1995.9,1995,9,No especificado,4,No especificado
1996.1,1996,1,Soltero(a) ,6,Soltero(a)
1996.2,1996,2,Casado(a)  ,1,Casado(a)
1996.3,1996,3,Unión libre ,7,Unión libre
1996.4,1996,4,Separado(a) ,5,Separado(a)
1996.5,1996,5,Divorciado(a) ,2,Divorciado(a)
1996.6,1996,6,Viudo(a) ,8,Viudo(a)
1996.9,1996,9,No especificado,4,No especificado
1997.1,1997,1,Soltero(a) ,6,Soltero(a)
1997.2,1997,2,Casado(a)  ,1,Casado(a)
1997.3,1997,3,Unión libre ,7,Unión libre
1997.4,1997,4,Separado(a) ,5,Separado(a)
1997.5,1997,5,Divorciado(a) ,2,Divorciado(a)
1997.6,1997,6,Viudo(a) ,8,Viudo(a)
1997.9,1997,9,No especificado,4,No especificado
1998.1,1998,1,Soltero(a) ,6,Soltero(a)
1998.2,1998,2,Casado(a) ,1,Casado(a)
1998.3,1998,3,Unión libre ,7,Unión libre
1998.4,1998,4,Separado(a) ,5,Separado(a)
1998.5,1998,5,Divorciado(a) ,2,Divorciado(a)
1998.6,1998,6,Viudo(a) ,8,Viudo(a)
1998.9,1998,9,No especificado,4,No especificado
1999.1,1999,1,Soltero(a) ,6,Soltero(a)
1999.2,1999,2,Casado(a) ,1,Casado(a)
1999.3,1999,3,Unión libre ,7,Unión libre
1999.4,1999,4,Separado(a) ,5,Separado(a)
1999.5,1999,5,Divorciado(a) ,2,Divorciado(a)
1999.6,1999,6,Viudo(a) ,8,Viudo(a)
1999.9,1999,9,No especificado,4,No especificado
2000.1,2000,1,Soltero(a) ,6,Soltero(a)
2000.2,2000,2,Casado(a) ,1,Casado(a)
2000.3,2000,3,Unión libre ,7,Unión libre
2000.4,2000,4,Separado(a) ,5,Separado(a)
2000.5,2000,5,Divorciado(a) ,2,Divorciado(a)
2000.6,2000,6,Viudo(a) ,8,Viudo(a)
2000.9,2000,9,No especificado,4,No especificado
2001.1,2001,1,Soltero(a) ,6,Soltero(a)
2001.2,2001,2,Casado(a)  ,1,Casado(a)
2001.3,2001,3,Unión libre ,7,Unión libre
2001.4,2001,4,Separado(a) ,5,Separado(a)
2001.5,2001,5,Divorciado(a) ,2,Divorciado(a)
2001.6,2001,6,Viudo(a) ,8,Viudo(a)
2001.9,2001,9,No especificado,4,No especificado
2002.1,2002,1,Soltero ,6,Soltero(a)
2002.2,2002,2,Casado ,1,Casado(a)
2002.3,2002,3,Unión libre ,7,Unión libre
2002.4,2002,4,Separado ,5,Separado(a)
2002.5,2002,5,Divorciado ,2,Divorciado(a)
2002.6,2002,6,Viudo ,8,Viudo(a)
2002.8,2002,8,No aplica a menores de 12 años ,3,No aplica
2002.9,2002,9,No especificado,4,No especificado
2003.1,2003,1,Soltero ,6,Soltero(a)
2003.2,2003,2,Casado ,1,Casado(a)
2003.3,2003,3,Unión libre ,7,Unión libre
2003.4,2003,4,Separado ,5,Separado(a)
2003.5,2003,5,Divorciado ,2,Divorciado(a)
2003.6,2003,6,Viudo ,8,Viudo(a)
2003.8,2003,8,No aplica a menores de 12 años ,3,No aplica
2003.9,2003,9,No especificado,4,No especificado
2004.1,2004,1,Soltero ,6,Soltero(a)
2004.2,2004,2,Viudo ,8,Viudo(a)
2004.3,2004,3,Divorciado ,2,Divorciado(a)
2004.4,2004,4,Unión libre ,7,Unión libre
2004.5,2004,5,Casado ,1,Casado(a)
2004.8,2004,8,No aplica a menores de 12 años ,3,No aplica
2004.9,2004,9,No especificado,4,No especificado
2005.1,2005,1,Soltero ,6,Soltero(a)
2005.2,2005,2,Viudo ,8,Viudo(a)
2005.3,2005,3,Divorciado ,2,Divorciado(a)
2005.4,2005,4,Unión libre ,7,Unión libre
2005.5,2005,5,Casado ,1,Casado(a)
2005.8,2005,8,No aplica a menores de 12 años ,3,No aplica
2005.9,2005,9,No especificado,4,No especificado
2006.1,2006,1,Soltero ,6,Soltero(a)
2006.2,2006,2,Viudo ,8,Viudo(a)
2006.3,2006,3,Divorciado ,2,Divorciado(a)
2006.4,2006,4,Unión libre ,7,Unión libre
