ID_EDU,AÑO,EDU,DES,CAT_DES,CAT
1990.1,1990,1,Sin escolaridad ,Sin educación,1
1990.2,1990,2,Menos de tres años de primaria ,Básica,2
1990.3,1990,3,De 3 a 5 años de primaria ,Básica,2
1990.4,1990,4,Primaria completa ,Básica,2
1990.5,1990,5,Secundaria o equivalente ,Básica,2
1990.6,1990,6,Preparatoria o equivalente ,Media,3
1990.7,1990,7,Profesional ,Superior,4
1990.8,1990,8,No aplica a menores de 6 años ,No aplica,5
1990.9,1990,9,No especificada,No especificado,6
1991.1,1991,1,Sin escolaridad ,Sin educación,1
1991.2,1991,2,Menos de tres años de primaria ,Básica,2
1991.3,1991,3,De 3 a 5 años de primaria ,Básica,2
1991.4,1991,4,Primaria completa ,Básica,2
1991.5,1991,5,Secundaria o equivalente ,Básica,2
1991.6,1991,6,Preparatoria o equivalente ,Media,3
1991.7,1991,7,Profesional ,Superior,4
1991.8,1991,8,No aplica a menores de 6 años ,No aplica,5
1991.9,1991,9,No especificada,No especificado,6
1992.1,1992,1,Sin escolaridad ,Sin educación,1
1992.2,1992,2,Menos de tres años de primaria ,Básica,2
1992.3,1992,3,De 3 a 5 años de primaria ,Básica,2
1992.4,1992,4,Primaria completa ,Básica,2
1992.5,1992,5,Secundaria o equivalente ,Básica,2
1992.6,1992,6,Preparatoria o equivalente ,Media,3
1992.7,1992,7,Profesional ,Superior,4
1992.8,1992,8,No aplica a menores de 6 años ,No aplica,5
1992.9,1992,9,No especificada,No especificado,6
1993.1,1993,1,Sin escolaridad ,Sin educación,1
1993.2,1993,2,Menos de tres años de primaria ,Básica,2
1993.3,1993,3,De 3 a 5 años de primaria ,Básica,2
1993.4,1993,4,Primaria completa ,Básica,2
1993.5,1993,5,Secundaria o equivalente ,Básica,2
1993.6,1993,6,Preparatoria o equivalente ,Media,3
1993.7,1993,7,Profesional ,Superior,4
1993.8,1993,8,No aplica a menores de 6 años ,No aplica,5
1993.9,1993,9,No especificada,No especificado,6
1994.1,1994,1,Sin escolaridad ,Sin educación,1
1994.2,1994,2,Menos de tres años de primaria ,Básica,2
1994.3,1994,3,De 3 a 5 años de primaria ,Básica,2
1994.4,1994,4,Primaria completa ,Básica,2
1994.5,1994,5,Secundaria o equivalente ,Básica,2
1994.6,1994,6,Preparatoria o equivalente ,Media,3
1994.7,1994,7,Profesional ,Superior,4
1994.8,1994,8,No aplica a menores de 6 años ,No aplica,5
1994.9,1994,9,No especificada,No especificado,6
1995.1,1995,1,Sin escolaridad ,Sin educación,1
1995.2,1995,2,Menos de tres años de primaria ,Básica,2
1995.3,1995,3,De 3 a 5 años de primaria ,Básica,2
1995.4,1995,4,Primaria completa ,Básica,2
1995.5,1995,5,Secundaria o equivalente ,Básica,2
1995.6,1995,6,Preparatoria o equivalente ,Media,3
1995.7,1995,7,Profesional ,Superior,4
1995.8,1995,8,No aplica a menores de 6 años ,No aplica,5
1995.9,1995,9,No especificada,No especificado,6
1996.1,1996,1,Sin escolaridad ,Sin educación,1
1996.2,1996,2,Menos de tres años de primaria ,Básica,2
1996.3,1996,3,De 3 a 5 años de primaria ,Básica,2
1996.4,1996,4,Primaria completa ,Básica,2
1996.5,1996,5,Secundaria o equivalente ,Básica,2
1996.6,1996,6,Preparatoria o equivalente ,Media,3
1996.7,1996,7,Profesional ,Superior,4
1996.8,1996,8,No aplica a menores de 6 años ,No aplica,5
1996.9,1996,9,No especificada,No especificado,6
1997.1,1997,1,Sin escolaridad ,Sin educación,1
1997.2,1997,2,Menos de tres años de primaria ,Básica,2
1997.3,1997,3,De 3 a 5 años de primaria ,Básica,2
1997.4,1997,4,Primaria completa ,Básica,2
1997.5,1997,5,Secundaria o equivalente ,Básica,2
1997.6,1997,6,Preparatoria o equivalente ,Media,3
1997.7,1997,7,Profesional ,Superior,4
1997.8,1997,8,No aplica a menores de 6 años ,No aplica,5
1997.9,1997,9,No especificada,No especificado,6
1998.1,1998,1,Sin escolaridad ,Sin educación,1
1998.2,1998,2,Menos de tres años de primaria ,Básica,2
1998.3,1998,3,De 3 a 5 años de primaria ,Básica,2
1998.4,1998,4,Primaria completa ,Básica,2
1998.5,1998,5,Secundaria o equivalente ,Básica,2
1998.6,1998,6,Preparatoria o equivalente ,Media,3
1998.7,1998,7,Profesional ,Superior,4
1998.8,1998,8,No aplica a menores de 6 años ,No aplica,5
1998.9,1998,9,No especificada,No especificado,6
1999.1,1999,1,Sin escolaridad ,Sin educación,1
1999.2,1999,2,Menos de tres años de primaria ,Básica,2
1999.3,1999,3,De 3 a 5 años de primaria ,Básica,2
1999.4,1999,4,Primaria completa ,Básica,2
1999.5,1999,5,Secundaria o equivalente ,Básica,2
1999.6,1999,6,Preparatoria o equivalente ,Media,3
1999.7,1999,7,Profesional ,Superior,4
1999.8,1999,8,No aplica a menores de 6 años ,No aplica,5
1999.9,1999,9,No especificada,No especificado,6
2000.1,2000,1,Sin escolaridad ,Sin educación,1
2000.2,2000,2,Menos de tres años de primaria ,Básica,2
2000.3,2000,3,De 3 a 5 años de primaria ,Básica,2
2000.4,2000,4,Primaria completa ,Básica,2
